,MAE,MSE,RMSE,MAPE
ARIMA,254.04139702603922,196798.7573156577,443.6200596407445,43.51493026306754
SARIMA,208.39088946386826,129212.4578624194,359.46134404469615,35.430383143045596
SMA,272.5664092664092,196135.88447733034,442.87231170770923,49.72281285040847
